"nombre","genero"
"ARLETT","F"
"ARMANI","F"
"ARUMA","F"
"ARUNA","F"
"ARWEEN","F"
"ARWEN","F"
"ARYA","F"
"ARYANA","F"
"ASAL","F"
"ASHANTI","F"
"ASHELEN","F"
"ASHER","F"
"ASHLEY","F"
"ASHLLY","F"
"ASHLY","F"
"ASHLYE","F"
"ASHLYN","F"
"ASIA","F"
"ASIRI","F"
"ASTRID","F"
"ASUNCIÓN","F"
"ATALÍA","F"
"ATENAS","F"
"ATENEA","F"
"ATHENA","F"
"ATHENEA","F"
"ATHIA","F"
"ATHIANA","F"
"ATHIARA","F"
"ATHINA","F"
"AUDELINE","F"
"AUDREY","F"
"AUDRY","F"
"AUGUSTA","F"
"AURA","F"
"AURELIA","F"
"AURORA","F"
"AVA","F"
"AVRIL","F"
"AXIA","F"
"AYANE","F"
"AYCE","F"
"AYELEN","F"
"AYELÉN","F"
"AYIRA","F"
"AYLA","F"
"AYLEEN","F"
"AYLEN","F"
"AYLÉN","F"
"AYLIM","F"
"AYLIN","F"
"AYLÍN","F"
"AYLINN","F"
"AYLU","F"
"AYMAR","F"
"AYMARA","F"
"AYMARÁ","F"
"AYME","F"
"AYMÉ","F"
"AYMEE","F"
"AYMMÉ","F"
"AYNARA","F"
"AYNHOA","F"
"AYNI","F"
"AYRA","F"
"AYSE","F"
"AYSÉ","F"
"AYSEL","F"
"AYSHA","F"
"AYTANA","F"
"AYTHANA","F"
"AZALEA","F"
"AZUCENA","F"
"AZUL","F"
"AZUMI","F"
"BAHIA","F"
"BAHÍA","F"
"BAHIANA","F"
"BARBARA","F"
"BÁRBARA","F"
"BARBI","F"
"BARBIE","F"
"BARBY","F"
"BATIA","F"
"BATSHEBA","F"
"BATSHEVA","F"
"BAYOLET","F"
"BEATRIZ","F"
"BECCA","F"
"BECKY","F"
"BEGONIA","F"
"BEHIRA","F"
"BELA","F"
"BELEN","F"
"BELÉN","F"
"BELHA","F"
"BELINDA","F"
"BELISARIO","F"
"BELLA","F"
"BENEDETTA","F"
"BENITA","F"
"BENJAMÍN","F"
"BENJAMINA","F"
"BENNU","F"
"BERAJA","F"
"BEREM","F"
"BERENICE","F"
"BERENISSE","F"
"BERENIZ","F"
"BERLÍN","F"
"BERNA","F"
"BERNARDA","F"
"BERNARDINA","F"
"BERNARDITA","F"
"BERTA","F"
"BERTINA","F"
"BETANIA","F"
"BETH","F"
"BETHANIA","F"
"BETHANY","F"
"BETIANA","F"
"BETTINA","F"
"BETTY","F"
"BEYDA","F"
"BEYLI","F"
"BIANCA","F"
"BIANKA","F"
"BIHANCA","F"
"BLANCA","F"
"BLUMA","F"
"BRAJA","F"
"BRANDY","F"
"BRENDA","F"
"BRIANA","F"
"BRIANDA","F"
"BRIANNA","F"
"BRIDGET","F"
"BRIGITH","F"
"BRIGITTE","F"
"BRIHANA","F"
"BRIHANNA","F"
"BRINA","F"
"BRINSEN","F"
"BRISA","F"
"BRISEIDA","F"
"BRISSA","F"
"BRITANI","F"
"BRITANY","F"
"BRITHANNY","F"
"BRITHANY","F"
"BRITNEY","F"
"BRITTANI","F"
"BRITTANY","F"
"BRIZA","F"
"BRUNA","F"
"BRUNELA","F"
"BRUNELLA","F"
"BRUNILDA","F"
"BRUNNA","F"
"BRYANA","F"
"BRYANNA","F"
"CAELI","F"
"CAETANA","F"
"CALA","F"
"CALANIT","F"
"CALI","F"
"CALIA","F"
"CALIOPE","F"
"CALIXTA","F"
"CALLIA","F"
"CALU","F"
"CAMELIA","F"
"CAMIL","F"
"CAMILA","F"
"CAMILLE","F"
"CANAÁM","F"
"CANDELA","F"
"CANDELARIA","F"
"CANELA","F"
"CARINA","F"
"CARLA","F"
"CARLOTA","F"
"CARLOTTA","F"
"CARMELA","F"
"CARMELLA","F"
"CARMEN","F"
"CARMÍN","F"
"CARMINA","F"
"CAROL","F"
"CAROLA","F"
"CAROLINA","F"
"CAROLINE","F"
"CASANDRA","F"
"CASEY","F"
"CASSANDRA","F"
"CASSIANA","F"
"CATALEIA","F"
"CATALELLA","F"
"CATALEYA","F"
"CATALINA","F"
"CATALLEYA","F"
"CATARINA","F"
"CATENA","F"
"CATERINA","F"
"CATHALEYA","F"
"CATHARINA","F"
"CATHERINA","F"
"CATHERINE","F"
"CATTALEYA","F"
"CATTALINA","F"
"CATTHERINE","F"
"CATTLEYA","F"
"CAYETANA","F"
"CECILIA","F"
"CEFERINA","F"
"CELENA","F"
"CELENE","F"
"CELESTE","F"
"CELESTINA","F"
"CELIA","F"
"CELINA","F"
"CELINDA","F"
"CELINE","F"
"CÉLINE","F"
"CESIA","F"
"CESIRA","F"
"CHABELA","F"
"CHAMILA","F"
"CHANEL","F"
"CHANTAL","F"
"CHARIS","F"
"CHARÍS","F"
"CHARLENE","F"
"CHARLIZE","F"
"CHARLOTT","F"
"CHARLOTTE","F"
"CHARO","F"
"CHAROL","F"
"CHAVELA","F"
"CHAYA","F"
"CHELSEA","F"
"CHELSEE","F"
"CHELSY","F"
"CHIARA","F"
"CHIDIMMA","F"
"CHLOE","F"
"CHLOÉ","F"
"CHRISTINE","F"
"CHRISTY","F"
"CIANA","F"
"CIARA","F"
"CIELO","F"
"CINDY","F"
"CINTHIA","F"
"CINTHYA","F"
"CINTIA","F"
"CIPRIANA","F"
"CIRA","F"
"CIRCE","F"
"CLAIRE","F"
"CLARA","F"
"CLARICE","F"
"CLARISA","F"
"CLARISSA","F"
"CLARITA","F"
"CLARIZA","F"
"CLAUDIA","F"
"CLEMENTINA","F"
"CLEO","F"
"CLHOE","F"
"CLOE","F"
"CLOÉ","F"
"CLOEH","F"
"CLOHE","F"
"COCÓ","F"
"COLOMBINA","F"
"CONCEPCION","F"
"CONCEPCIÓN","F"
"CONSTANTINA","F"
"CONSTANZA","F"
"CONSUELO","F"
"CORA","F"
"CORAL","F"
"CORALIE","F"
"CORDELIA","F"
"CORINA","F"
"COSETTE","F"
"COSTANZA","F"
"CRISTAL","F"
"CRISTEL","F"
"CRISTELL","F"
"CRISTIANA","F"
"CRISTINA","F"
"CRUZ","F"
"CRYSTAL","F"
"CYNARA","F"
"CYNTHIA","F"
"CYNTIA","F"
"DAENERYS","F"
"DAFNA","F"
"DAFNE","F"
"DAHIANA","F"
"DAHIARA","F"
"DAHIRA","F"
"DAHLIA","F"
"DAIANA","F"
"DAIARA","F"
"DAILA","F"
"DAINA","F"
"DAIRA","F"
"DAISHA","F"
"DAISY","F"
"DAKOTA","F"
"DALCY","F"
"DALESKA","F"
"DALEYZA","F"
"DALEZKA","F"
"DALIA","F"
"DALILA","F"
"DALILLA","F"
"DALIZA","F"
"DALLYANA","F"
"DALMA","F"
"DAMARIS","F"
"DÁMARIS","F"
"DAMASIA","F"
"DAMY","F"
"DANA","F"
"DANAE","F"
"DANAH","F"
"DANAY","F"
"DANELEY","F"
"DANEYSHA","F"
"DANIA","F"
"DANIELA","F"
"DANIELLE","F"
"DANILA","F"
"DANITZA","F"
"DANNA","F"
"DANNAE","F"
"DANNE","F"
"DANNZ","F"
"DANTE","M"
"DAPHNE","F"
"DARA","F"
"DARAH","F"
"DARCY","F"
"DARIA","F"
"DARIANA","F"
"DARLA","F"
"DARLETH","F"
"DARLIN","F"
"DARLÍN","F"
"DARLYN","F"
"DASHA","F"
"DAYANA","F"
"DAYELIN","F"
"DAYLA","F"
"DAYLIN","F"
"DAYLINE","F"
"DAYMARA","F"
"DAYNE","F"
"DAYRA","F"
"DEBORA","F"
"DEBORAH","F"
"DELFINA","F"
"DELIA","F"
"DELINA","F"
"DELLA","F"
"DELMY","F"
"DENICE","F"
"DENISE","F"
"DENISSE","F"
"DESIREE","F"
"DESIREÉ","F"
"DESIRÉE","F"
"DESTINY","F"
"DEYSI","F"
"DHARMA","F"
"DIAMELA","F"
"DIANA","F"
"DIANELA","F"
"DIANNA","F"
"DIANNE","F"
"DILARA","F"
"DINA","F"
"DIORELLA","F"
"DOLLY","F"
"DOLORES","F"
"DOMINGA","F"
"DOMINIC","F"
"DOMINICKE","F"
"DOMINIQUE","F"
"DONATA","F"
"DONATELLA","F"
"DONATTA","F"
"DONNA","F"
"DONNATELLA","F"
"DORA","F"
"DULCE","F"
"DULCINEA","F"
"EDEN","F"
"EDITH","F"
"EILEEN","F"
"EILEN","F"
"EIMI","F"
"EIMY","F"
"EITHAN","F"
"EKATERINA","F"
"ELA","F"
"ELAH","F"
"ELAIA","F"
"ELAINE","F"
"ELBA","F"
"ELDA","F"
"ELECTRA","F"
"ELEKTRA","F"
"ELEN","F"
"ELENA","F"
"ELENNA","F"
"ELEONOR","F"
"ELEONORA","F"
"ELHA","F"
"ELI","F"
"ELIANA","F"
"ELIETTE","F"
"ELIF","F"
"ELIN","F"
"ELINA","F"
"ELIS","F"
"ELISA","F"
"ELISEO","F"
"ELISHEBA","F"
"ELIZA","F"
"ELIZABET","F"
"ELIZABETH","F"
"ELLA","F"
"ELLEN","F"
"ELLIE","F"
"ELOISA","F"
"ELOÍSA","F"
"ELOÏSE","F"
"ELSA","F"
"ELSIE","F"
"ELUNEI","F"
"ELUNEY","F"
"ELVA","F"
"ELVIRA","F"
"ELY","F"
"EMA","F"
"EMELI","F"
"EMELINA","F"
"EMELY","F"
"EMELYN","F"
"EMI","F"
"EMILCE","F"
"EMILI","F"
"EMILIA","F"
"EMILIANA","F"
"EMILIE","F"
"EMILSE","F"
"EMILY","F"
"ÉMILY","F"
"EMMA","F"
"EMMILY","F"
"EMY","F"
"EMYLY","F"
"ENA","F"
"ENRIQUETA","F"
"ERICA","F"
"ERIKA","F"
"ERIN","F"
"ERMA","F"
"ERNESTINA","F"
"ESMERALDA","F"
"ESPERANZA","F"
"ESTEFANI","F"
"ESTEFANIA","F"
"ESTEFANÍA","F"
"ESTEFANY","F"
"ESTELA","F"
"ESTELVINA","F"
"ESTER","F"
"ESTHER","F"
"ESTRELLA","F"
"EUGENIA","F"
"EULOGIA","F"
"EUNICE","F"
"EVA","F"
"EVALUNA","F"
"EVANGELINA","F"
"EVANGELINE","F"
"EVANYELIN","F"
"EVELIN","F"
"EVELINA","F"
"EVELYN","F"
"EVELYNN","F"
"EVOLET","F"
"EYLUL","F"
"EYLÜL","F"
"EYMI","F"
"FABIANA","F"
"FABIOLA","F"
"FADHILA","F"
"FAITH","F"
